title,authors,published_year,average_rating,num_pages,number_of_copies,ISBN-13
Gilead,Marilynne Robinson,2004,3.85,247,2,9780002005883
Spider's Web,Charles Osborne;Agatha Christie,2000,3.83,241,18,9780002261987
The One Tree,Stephen R. Donaldson,1982,3.97,479,16,9780016163831
Rage of angels,Sidney Sheldon,1993,3.93,512,1,9780016178731
The Four Loves,Clive Staples Lewis,2002,4.15,170,14,9780016280897
The Problem of Pain,Clive Staples Lewis,2002,4.09,176,16,9780016280935
Appointment with Death,Agatha Christie,2001,3.86,303,3,9780017119356
Hallowe'en Party,Agatha Christie,2001,3.66,336,18,9780017120680
Hercule Poirot's Christmas,Agatha Christie,2001,3.93,335,17,9780017120699
The Big Four,Agatha Christie,2002,3.59,272,9,9780017120818
The Thirteen Problems,Agatha Christie,2002,3.89,315,12,9780017120869
They Do it with Mirrors,Agatha Christie,2002,3.75,284,16,9780017120877
A Murder is Announced,Agatha Christie,2002,3.98,382,17,9780017120966
The Mirror Crack'd from Side to Side,Agatha Christie,2002,3.91,351,15,9780017120982
Mrs McGinty's Dead,Agatha Christie,2002,3.83,328,2,9780017121008
Taken at the Flood,Agatha Christie,2002,3.71,352,1,9780017121016
The Hollow,Agatha Christie,2002,3.79,384,19,9780017121024
Third Girl,Agatha Christie,2002,3.62,365,13,9780017121105
The Secret of Chimneys,Agatha Christie,2001,3.86,400,19,9780017122586
The Lord of the Rings,J. R. R. Tolkien,2001,4.49,1546,2,9780017124015
The Metaphysical Club,Louis Menand,2002,4.07,560,12,9780017126905
Wilkins' Tooth,Diana Wynne Jones,2002,3.59,207,4,9780017129653
Cut,Patricia McCormick,2002,3.76,173,6,9780017130317
The Lord of the Rings,Gary Russell,2004,4.54,224,19,9780017135653
The Lord of the Rings,John Ronald Reuel Tolkien,2002,4.49,1200,14,9780017136587
The Fellowship of the Ring,John Ronald Reuel Tolkien;Alan Lee,2002,4.35,410,11,9780017136595
Lirael,Garth Nix,2004,4.3,527,1,9780017137338
Tales from the Perilous Realm,John Ronald Reuel Tolkien,2002,4.08,178,9,9780017149123
Breaking Open the Head,Daniel Pinchbeck,2004,4.06,336,10,9780017149611
The Yiddish Policemen's Union,Michael Chabon,2007,3.7,414,14,9780017149824
The Family Way,Tony Parsons,2005,3.51,400,13,9780017151241
Endless Night,Agatha Christie,2002,3.77,303,14,9780017151675
How to be Alone,Jonathan Franzen,2004,3.6,306,14,9780017153589
The Mysterious Mr. Quin,Agatha Christie,2003,3.72,396,11,9780017154844
The Listerdale Mystery,Agatha Christie,2003,3.55,317,19,9780017154887
I Can Read with Me Eyes Shut!,Dr. Seuss,2003,4.2,48,7,9780017158513
If I Die in a Combat Zone,Tim O'Brien,2003,3.95,208,6,9780017162995
The Return of the King,J. R. R. Tolkien,2003,4.52,554,2,9780017171994
The Silmarillion,John Ronald Reuel Tolkien;Ted Nasmith,2004,3.91,386,17,9780017173024
Oh Say Can You Say?,Dr. Seuss,2004,4.01,36,19,9780017175221
There's a Boy in the Girls' Bathroom,Louis Sachar,2004,3.98,208,20,9780017178638
Microserfs,Douglas Coupland,2004,3.88,371,15,9780017179812
Miss Wyoming,Douglas Coupland,2004,3.48,320,1,9780017179820
Where Rainbows End,Cecelia Ahern,2004,3.94,454,8,9780017189958
Poirot,Agatha Christie,2005,4.2,727,15,9780017190689
The Art of The Lord of the Rings,Gary Russell,2004,4.52,224,13,9780017191928
The Known World,Edward P. Jones,2004,3.83,388,6,9780017195303
Discover Your Destiny with the Monk Who Sold His Ferrari,Robin Sharma,2004,3.9,240,16,9780017195710
Naked Lunch,William S. Burroughs,2005,3.44,289,15,9780017204442
Tropic of Cancer,Henry Miller,2005,3.69,336,16,9780017204469
Close Range,Annie Proulx,2006,3.99,318,11,9780017205589
The Love of the Last Tycoon,F. Scott Fitzgerald,1994,3.65,169,12,9780040199856
The Song of Rhiannon,Evangeline Walton,1992,4.02,208,18,9780040264739
Heart Songs and Other Stories,Annie Proulx,1995,3.93,203,20,9780040360754
The voyage of the Dawn Treader,Clive Staples Lewis,1970,4.09,216,4,9780040442602
The Short Stories of Ernest Hemingway,Ernest Hemingway,1986,4.26,499,19,9780040518609
Reason in History,Georg Wilhelm Friedrich Hegel,1953,3.64,95,14,9780043513209
The Elements of Style,William Strunk;Elwyn Brooks White,1979,4.2,85,6,9780044181900
Spandau,Albert Speer,1976,4.12,463,8,9780056995018
The Journey with Grandmother,Edith Unnerstad,1960,3.75,197,15,9780057897508
Tyranny of the Majority,Lani Guinier,1995,3.82,352,7,9780059131693
The Origins of the Civil Rights Movement,Aldon D. Morris,1986,4.04,368,2,9780059221307
Presidential Power and the Modern Presidents,Richard E. Neustadt,1991,3.79,384,4,9780059227968
Where the Red Fern Grows,Wilson Rawls,2000,4.37,288,10,9780060547741
Poppy's Return,Avi,2006,3.99,256,16,9780120000147
Diary of a Spider,Doreen Cronin,2005,4.25,40,1,9780120001534
An Old-Fashioned Thanksgiving,Louisa May Alcott;James Bernardin,2005,3.7,32,19,9780120004509
The Paradox of Choice,Barry Schwartz,2005,3.84,265,9,9780120005696
The Wee Free Men,Terry Pratchett,2004,4.27,390,16,9780120012382
Going Postal,Terry Pratchett,2004,4.38,377,6,9780120013133
Modern Mind,Peter Watson,2002,4.27,847,9,9780120084383
She Went All the Way,Meg Cabot,2002,3.69,357,5,9780120085444
Island,Aldous Huxley,1962,3.85,354,5,9780120085495
A Year in the Life of William Shakespeare,James Shapiro,2006,4.09,333,15,9780120088745
Lucy Sullivan Is Getting Married,Marian Keyes,2002,3.76,640,15,9780120090375
The Terminal Man,Michael Crichton,2002,3.36,266,18,9780120092572
The Art of the Novel,Milan Kundera,2003,3.96,176,10,9780120093749
The Bromeliad Trilogy,Terry Pratchett,2003,4.06,502,11,9780120094931
Identity,Milan Kundera,1998,3.68,176,15,9780120175648
The thief of always,Clive Barker,1992,4.19,225,7,9780120177241
Mars and Venus Book of Days,John Gray,1998,3.54,368,20,9780120192771
The Last of the Really Great Whangdoodles,Julie Andrews Edwards,1996,4.25,209,14,9780120218053
Today I Feel Silly & Other Moods That Make My Day,Jamie Lee Curtis,1998,4.15,40,15,9780120245603
The Missing Piece Meets the Big O,Shel Silverstein,1981,4.33,104,8,9780120256575
